"file_name","width","height","aspect_ratio","orientation","size_mb","last_modified","issue","source_path"
"26.png","972","1619","0.6004","portrait","2.45","2026-04-28 11:07:01","ok","C:\Users\youbi\Desktop\작업물\타로 계획\결정\26.png"
"27.png","972","1619","0.6004","portrait","2.74","2026-04-28 11:26:46","ok","C:\Users\youbi\Desktop\작업물\타로 계획\결정\27.png"
"28.png","972","1619","0.6004","portrait","2.49","2026-04-28 11:38:11","ok","C:\Users\youbi\Desktop\작업물\타로 계획\결정\28.png"
"29.png","972","1619","0.6004","portrait","2.2","2026-04-28 12:01:41","ok","C:\Users\youbi\Desktop\작업물\타로 계획\결정\29.png"
"30.png","959","1641","0.5844","portrait","2.59","2026-04-29 20:03:14","ok","C:\Users\youbi\Desktop\작업물\타로 계획\결정\30.png"
"31.png","960","1639","0.5857","portrait","2.24","2026-04-29 20:12:22","ok","C:\Users\youbi\Desktop\작업물\타로 계획\결정\31.png"
"32.png","959","1641","0.5844","portrait","2.43","2026-04-29 20:18:24","ok","C:\Users\youbi\Desktop\작업물\타로 계획\결정\32.png"
"33.png","959","1639","0.5851","portrait","2.43","2026-04-29 20:26:39","ok","C:\Users\youbi\Desktop\작업물\타로 계획\결정\33.png"
"34.png","957","1643","0.5825","portrait","2.46","2026-04-29 20:32:23","ok","C:\Users\youbi\Desktop\작업물\타로 계획\결정\34.png"
"35.png","958","1641","0.5838","portrait","2.41","2026-04-29 20:37:00","ok","C:\Users\youbi\Desktop\작업물\타로 계획\결정\35.png"
"36.png","958","1641","0.5838","portrait","2.64","2026-04-29 21:11:01","ok","C:\Users\youbi\Desktop\작업물\타로 계획\결정\36.png"
"37.png","959","1640","0.5848","portrait","2.57","2026-04-29 21:17:47","ok","C:\Users\youbi\Desktop\작업물\타로 계획\결정\37.png"
"38.png","959","1639","0.5851","portrait","2.33","2026-04-29 21:29:33","ok","C:\Users\youbi\Desktop\작업물\타로 계획\결정\38.png"
"39.png","958","1641","0.5838","portrait","2.62","2026-04-30 00:08:23","ok","C:\Users\youbi\Desktop\작업물\타로 계획\결정\39.png"
"4 (2).png","958","1642","0.5834","portrait","2.2","2026-04-29 15:00:42","ok","C:\Users\youbi\Desktop\작업물\타로 계획\결정\4 (2).png"
"4.png","958","1642","0.5834","portrait","2.6","2026-04-27 21:44:29","ok","C:\Users\youbi\Desktop\작업물\타로 계획\결정\4.png"
